path	tracked	current_routes	target_owners	split_required	policy
crates/nando-response-actor/src/online_admission.rs	yes	admission,proof,learning-replay	admission,proof	yes	move-only
crates/nando-response-actor/src/online_checkpoint.rs	yes	learning	learning	no	move-only
crates/nando-response-actor/src/online_collection.rs	yes	learning,proof-fixture	learning,proof	yes	move-only
crates/nando-response-actor/src/online_diagnostics.rs	yes	learning-report	learning	no	move-only
crates/nando-response-actor/src/online_state.rs	yes	learning	learning	no	move-only
crates/nando-response-actor/src/online_subcenter.rs	yes	learning	learning	no	move-only
crates/nando-response-actor/src/operator_generation.rs	yes	kernel,learning	kernel,learning	yes	move-only
crates/nando-response-actor/src/operator_live_shadow.rs	yes	learning,proof-fixture,admission-candidate	learning,proof	yes	move-only
crates/nando-response-actor/src/operator_vm.rs	yes	runtime	runtime	no	move-only
crates/nando-response-actor/src/opportunity.rs	yes	learning-report	learning	no	move-only
crates/nando-response-actor/src/outcome_example.rs	yes	learning,proof-fixture	learning,proof	yes	move-only
crates/nando-response-actor/src/output_graph.rs	yes	runtime,learning	runtime,learning	yes	move-only
crates/nando-response-actor/src/package.rs	yes	kernel,admission	kernel,admission	yes	move-only
crates/nando-response-actor/src/physical_trial_v2_tests.rs	yes	proof-test	proof	no	move-only
crates/nando-response-actor/src/program.rs	yes	kernel,runtime	kernel,runtime	yes	move-only
crates/nando-response-actor/src/protocol_mode.rs	yes	kernel,learning	kernel,learning	yes	move-only
crates/nando-response-actor/src/protocol_mode/selector.rs	yes	kernel,learning	kernel,learning	yes	move-only
crates/nando-response-actor/src/rollover.rs	yes	learning,admission	learning,admission	yes	move-only
crates/nando-response-actor/src/runtime.rs	yes	runtime,proof-call	runtime,proof	yes	move-only
crates/nando-response-actor/src/semantic_alias.rs	yes	learning	learning	no	move-only
crates/nando-response-actor/src/synthesis.rs	yes	learning,proof-contract	learning,proof	yes	move-only
crates/nando-response-actor/src/teacher_join.rs	yes	learning	learning	no	move-only
crates/nando-response-actor/src/training_types.rs	yes	learning-contract	learning	no	move-only
crates/nando-response-actor/src/transferable_operator_v2.rs	yes	kernel,learning,runtime	kernel,learning,runtime	yes	move-only
crates/nando-response-actor/src/verified_delta.rs	yes	kernel,learning,proof	kernel,learning,proof	yes	move-only
crates/nando-response-actor/src/verifier.rs	yes	proof	proof	no	move-only
crates/nando-response-actor/src/version_space.rs	yes	proof	proof	no	move-only
